,Condition_1,Condition_1_prime_1,Condition_1_prime_2,Condition_1_prime_3,Condition_1_prime_4,Condition_1_prime_5,Condition_1_prime_6,Condition_1_prime_7,Condition_1_prime_8,Condition_1_prime_9,Condition_1_prime_10,Condition_2,Condition_2_prime_1,Condition_2_prime_2,Condition_2_prime_3,Condition_2_prime_4,Condition_2_prime_5,Condition_2_prime_6,Condition_2_prime_7,Condition_2_prime_8,Condition_2_prime_9,Condition_2_prime_10,Condition_3,Condition_3_prime_1,Condition_3_prime_2,Condition_3_prime_3,Condition_3_prime_4,Condition_3_prime_5,Condition_3_prime_6,Condition_3_prime_7,Condition_3_prime_8,Condition_3_prime_9,Condition_3_prime_10,Condition_4,Condition_4_prime_1,Condition_4_prime_2,Condition_4_prime_3,Condition_4_prime_4,Condition_4_prime_5,Condition_4_prime_6,Condition_4_prime_7,Condition_4_prime_8,Condition_4_prime_9,Condition_4_prime_10,Condition_5,Condition_5_prime_1,Condition_5_prime_2,Condition_5_prime_3,Condition_5_prime_4,Condition_5_prime_5,Condition_5_prime_6,Condition_5_prime_7,Condition_5_prime_8,Condition_5_prime_9,Condition_5_prime_10,Condition_6,Condition_6_prime_1,Condition_6_prime_2,Condition_6_prime_3,Condition_6_prime_4,Condition_6_prime_5,Condition_6_prime_6,Condition_6_prime_7,Condition_6_prime_8,Condition_6_prime_9,Condition_6_prime_10,Condition_7,Condition_7_prime_1,Condition_7_prime_2,Condition_7_prime_3,Condition_7_prime_4,Condition_7_prime_5,Condition_7_prime_6,Condition_7_prime_7,Condition_7_prime_8,Condition_7_prime_9,Condition_7_prime_10,Condition_8,Condition_8_prime_1,Condition_8_prime_2,Condition_8_prime_3,Condition_8_prime_4,Condition_8_prime_5,Condition_8_prime_6,Condition_8_prime_7,Condition_8_prime_8,Condition_8_prime_9,Condition_8_prime_10,Condition_9,Condition_9_prime_1,Condition_9_prime_2,Condition_9_prime_3,Condition_9_prime_4,Condition_9_prime_5,Condition_9_prime_6,Condition_9_prime_7,Condition_9_prime_8,Condition_9_prime_9,Condition_9_prime_10,Condition_10,Condition_10_prime_1,Condition_10_prime_2,Condition_10_prime_3,Condition_10_prime_4,Condition_10_prime_5,Condition_10_prime_6,Condition_10_prime_7,Condition_10_prime_8,Condition_10_prime_9,Condition_10_prime_10
Condition_1_prime_10,0.9997,0.7053,0.9227,0.8095,0.9044,0.9048,0.9008,0.8079,0.9134,0.9997,1.0,0.8957,0.7729,0.8236,0.7105,0.8058,0.8095,0.8957,0.8861,0.8957,0.8861,0.9043,0.3611,0.3611,0.3611,0.2748,0.3611,0.3611,0.3611,0.3611,0.361,0.2671,0.3611,0.4869,0.4869,0.4869,0.4006,0.4869,0.4686,0.4869,0.4869,0.4869,0.4686,0.4869,0.7531,0.6578,0.5674,0.6284,0.692,0.6632,0.7531,0.7234,0.626,0.7092,0.7531,0.7767,0.6666,0.7065,0.5924,0.7035,0.7001,0.7767,0.7065,0.8011,0.8005,0.7504,0.842,0.7468,0.8104,0.6516,0.8408,0.7931,0.842,0.7469,0.7558,0.842,0.842,0.7934,0.6982,0.7767,0.6345,0.7897,0.714,0.7494,0.7501,0.8443,0.8083,0.7664,0.5793,0.3892,0.3979,0.4803,0.5793,0.4534,0.561,0.5793,0.5793,0.4661,0.4844,0.5157,0.4208,0.3343,0.5157,0.4387,0.5157,0.5157,0.5157,0.4295,0.4171,0.4208
Condition_2,0.8957,0.6103,0.832,0.8004,0.832,0.8957,0.8008,0.7327,0.8187,0.8957,0.8957,1.0,0.8719,0.8412,0.8061,0.9048,0.9048,0.9999,0.9051,1.0,0.9048,0.9909,0.3147,0.3147,0.3147,0.2378,0.3147,0.3147,0.3147,0.3147,0.3147,0.2232,0.3147,0.4103,0.4103,0.4103,0.3333,0.4103,0.4066,0.4103,0.4103,0.4103,0.4066,0.4103,0.753,0.6578,0.536,0.6284,0.692,0.6632,0.753,0.694,0.5818,0.6653,0.753,0.7767,0.6666,0.6454,0.5862,0.7035,0.7001,0.7767,0.6466,0.7272,0.8005,0.7065,0.7565,0.6626,0.7383,0.5664,0.7565,0.7249,0.7565,0.6616,0.6796,0.7565,0.7565,0.7934,0.6982,0.7766,0.6345,0.7897,0.7139,0.7027,0.7329,0.815,0.8082,0.7664,0.499,0.3101,0.3271,0.4316,0.499,0.4034,0.4953,0.499,0.499,0.4013,0.405,0.4514,0.3574,0.2795,0.4514,0.3878,0.4514,0.4514,0.4514,0.3744,0.3574,0.3574
Condition_2_prime_1,0.7729,0.6789,0.7093,0.6789,0.7093,0.7729,0.679,0.6138,0.6959,0.7729,0.7729,0.8719,1.0,0.7134,0.6827,0.812,0.8083,0.8719,0.7779,0.8719,0.7767,0.8682,0.3104,0.3433,0.3104,0.2334,0.3104,0.3104,0.3104,0.3104,0.3104,0.2189,0.3104,0.3923,0.5204,0.3923,0.3166,0.3923,0.392,0.3923,0.3923,0.3923,0.392,0.3923,0.6578,0.6578,0.4286,0.5381,0.6004,0.5716,0.6578,0.5988,0.5806,0.664,0.6578,0.6814,0.7937,0.5229,0.4919,0.6119,0.6085,0.6814,0.6178,0.6044,0.6814,0.6814,0.6338,0.7619,0.6248,0.4446,0.6338,0.6155,0.6338,0.5398,0.5568,0.6338,0.6338,0.6982,0.6982,0.6814,0.5396,0.6982,0.6224,0.6777,0.6144,0.6959,0.713,0.7547,0.387,0.3883,0.2161,0.3231,0.387,0.3051,0.3867,0.387,0.387,0.3867,0.387,0.3394,0.3394,0.1685,0.3394,0.2758,0.3394,0.3394,0.3394,0.2624,0.3394,0.3394
Condition_2_prime_2,0.8236,0.5772,0.8715,0.6503,0.8054,0.7446,0.7763,0.7543,0.7853,0.8236,0.8236,0.8412,0.7134,1.0,0.6559,0.7622,0.7623,0.8411,0.8275,0.8412,0.8278,0.8408,0.3706,0.3706,0.3706,0.2844,0.3706,0.3706,0.3706,0.3706,0.3706,0.2766,0.3706,0.438,0.438,0.438,0.3517,0.438,0.4197,0.438,0.438,0.438,0.4197,0.438,0.5942,0.499,0.5808,0.4859,0.5495,0.5046,0.5942,0.5513,0.4671,0.537,0.5942,0.6179,0.508,0.7199,0.4336,0.561,0.5576,0.6179,0.6247,0.6746,0.6417,0.5783,0.7005,0.6029,0.6529,0.5076,0.6993,0.6357,0.7005,0.6054,0.6143,0.7005,0.7005,0.6506,0.5554,0.6178,0.6345,0.6472,0.5874,0.5772,0.7501,0.6722,0.6655,0.6076,0.5304,0.3403,0.349,0.5121,0.5304,0.463,0.5121,0.5304,0.5304,0.4173,0.4355,0.4534,0.3585,0.272,0.4534,0.4534,0.4534,0.4534,0.4534,0.3672,0.3585,0.3585
Condition_2_prime_3,0.7105,0.6153,0.6469,0.8957,0.6382,0.7018,0.7105,0.5503,0.6335,0.7105,0.7105,0.8061,0.6827,0.6559,1.0,0.7155,0.7118,0.8061,0.8147,0.8061,0.7195,0.7971,0.2198,0.2198,0.2198,0.1429,0.2198,0.2198,0.2198,0.2198,0.2198,0.1259,0.2198,0.3151,0.3151,0.3151,0.2381,0.3151,0.3138,0.3151,0.3151,0.3151,0.3138,0.3151,0.5629,0.5629,0.4469,0.4392,0.5028,0.474,0.5629,0.5039,0.3969,0.4804,0.5629,0.5865,0.4773,0.4577,0.7751,0.5143,0.5109,0.5865,0.458,0.5395,0.6103,0.5216,0.5689,0.474,0.5507,0.7541,0.568,0.5364,0.5689,0.5689,0.4919,0.5689,0.5689,0.6033,0.6033,0.5865,0.4444,0.6005,0.5247,0.6156,0.5437,0.6248,0.6181,0.5763,0.4075,0.3126,0.3305,0.3426,0.4075,0.316,0.4063,0.4075,0.4075,0.3114,0.3126,0.3599,0.3512,0.2829,0.3599,0.2963,0.3599,0.3599,0.3599,0.2829,0.265,0.265
Condition_2_prime_4,0.8058,0.5247,0.7582,0.7117,0.8534,0.8058,0.7118,0.6617,0.7421,0.8058,0.8058,0.9048,0.812,0.7622,0.7155,1.0,0.901,0.9048,0.8108,0.9048,0.8096,0.901,0.2767,0.2767,0.2767,0.2131,0.2767,0.2767,0.2767,0.2767,0.2767,0.1905,0.2767,0.3426,0.3426,0.3426,0.279,0.3426,0.3414,0.3426,0.3426,0.3426,0.3414,0.3426,0.6947,0.5995,0.4815,0.6283,0.6919,0.6177,0.6947,0.649,0.5259,0.6094,0.6947,0.7183,0.6119,0.577,0.5288,0.7987,0.7,0.7183,0.5804,0.6559,0.7196,0.628,0.688,0.5964,0.6789,0.4988,0.7832,0.6697,0.688,0.594,0.6243,0.688,0.688,0.7897,0.6944,0.7409,0.6311,0.7897,0.7139,0.619,0.6629,0.7421,0.8045,0.696,0.4249,0.2394,0.2673,0.376,0.4249,0.359,0.4236,0.4249,0.4249,0.3321,0.3334,0.3933,0.3018,0.2357,0.3933,0.3457,0.3933,0.3933,0.3933,0.3297,0.3018,0.3018
Condition_2_prime_5,0.8095,0.5275,0.7619,0.7152,0.7619,0.8095,0.7156,0.6626,0.7459,0.8095,0.8095,0.9048,0.8083,0.7623,0.7118,0.901,1.0,0.9048,0.8109,0.9048,0.8096,0.9048,0.2792,0.2792,0.2792,0.2155,0.2792,0.2792,0.2792,0.2792,0.2792,0.1929,0.2792,0.3454,0.3454,0.3454,0.2817,0.3454,0.3417,0.3454,0.3454,0.3454,0.3417,0.3454,0.6948,0.5995,0.4815,0.6284,0.692,0.6178,0.6948,0.6491,0.5259,0.6095,0.6948,0.7184,0.6119,0.5808,0.5288,0.7035,0.7001,0.7184,0.5842,0.6597,0.7196,0.6281,0.6917,0.6002,0.6827,0.5025,0.6917,0.6734,0.6917,0.5977,0.628,0.6917,0.6917,0.7897,0.6945,0.7409,0.6311,0.7897,0.7139,0.619,0.663,0.7421,0.8046,0.696,0.4276,0.2422,0.27,0.3763,0.4276,0.3614,0.4239,0.4276,0.4276,0.3324,0.3361,0.396,0.3045,0.2384,0.396,0.3484,0.396,0.396,0.396,0.3324,0.3045,0.3045
Condition_2_prime_6,0.8957,0.6103,0.832,0.8004,0.832,0.8957,0.8008,0.7327,0.8187,0.8957,0.8957,0.9999,0.8719,0.8411,0.8061,0.9048,0.9048,1.0,0.905,0.9999,0.9047,0.9909,0.3147,0.3147,0.3147,0.2378,0.3147,0.3147,0.3147,0.3147,0.3147,0.2232,0.3147,0.4103,0.4103,0.4103,0.3333,0.4103,0.4066,0.4103,0.4103,0.4103,0.4066,0.4103,0.753,0.6578,0.536,0.6284,0.692,0.6632,0.753,0.694,0.5818,0.6653,0.753,0.7767,0.6666,0.6454,0.5862,0.7035,0.7001,0.7767,0.6466,0.7272,0.8005,0.7065,0.7565,0.6626,0.7383,0.5664,0.7565,0.7249,0.7566,0.6616,0.6796,0.7565,0.7565,0.7934,0.6982,0.7766,0.6345,0.7897,0.7139,0.7027,0.7329,0.815,0.8082,0.7664,0.499,0.3101,0.3271,0.4316,0.499,0.4034,0.4953,0.499,0.499,0.4013,0.405,0.4514,0.3574,0.2795,0.4514,0.3878,0.4514,0.4514,0.4514,0.3744,0.3574,0.3574
Condition_2_prime_7,0.8861,0.6922,0.8091,0.8091,0.7912,0.8085,0.8861,0.7036,0.7999,0.8861,0.8861,0.9051,0.7779,0.8275,0.8147,0.8108,0.8109,0.905,1.0,0.9051,0.9044,0.9047,0.2528,0.2528,0.2528,0.1666,0.2528,0.2528,0.2528,0.2528,0.2528,0.1589,0.2528,0.3787,0.3787,0.3787,0.2928,0.3787,0.3697,0.3787,0.3787,0.3787,0.3697,0.3787,0.6581,0.5629,0.5674,0.5348,0.598,0.5692,0.6581,0.6285,0.5308,0.6143,0.6581,0.6818,0.5726,0.6113,0.5924,0.6095,0.6061,0.6818,0.6116,0.7059,0.7056,0.6555,0.7285,0.6336,0.6969,0.6332,0.7276,0.6799,0.7285,0.7285,0.6422,0.7285,0.7285,0.6985,0.6033,0.6817,0.5396,0.6958,0.62,0.6542,0.6549,0.7494,0.7134,0.6715,0.4711,0.3763,0.3849,0.3852,0.4711,0.3453,0.4621,0.4711,0.4711,0.3672,0.3763,0.4075,0.3126,0.3213,0.4075,0.3305,0.4075,0.4075,0.4075,0.3213,0.3126,0.3126
Condition_2_prime_8,0.8957,0.6103,0.832,0.8004,0.832,0.8957,0.8008,0.7327,0.8187,0.8957,0.8957,1.0,0.8719,0.8412,0.8061,0.9048,0.9048,0.9999,0.9051,1.0,0.9048,0.9909,0.3147,0.3147,0.3147,0.2378,0.3147,0.3147,0.3147,0.3147,0.3147,0.2232,0.3147,0.4103,0.4103,0.4103,0.3333,0.4103,0.4066,0.4103,0.4103,0.4103,0.4066,0.4103,0.753,0.6578,0.536,0.6284,0.692,0.6632,0.753,0.694,0.5818,0.6653,0.753,0.7767,0.6666,0.6454,0.5862,0.7035,0.7001,0.7767,0.6466,0.7272,0.8005,0.7065,0.7565,0.6626,0.7383,0.5664,0.7565,0.7249,0.7565,0.6616,0.6796,0.7565,0.7565,0.7934,0.6982,0.7766,0.6345,0.7897,0.7139,0.7027,0.7329,0.815,0.8082,0.7664,0.499,0.3101,0.3271,0.4316,0.499,0.4034,0.4953,0.499,0.499,0.4013,0.405,0.4514,0.3574,0.2795,0.4514,0.3878,0.4514,0.4514,0.4514,0.3744,0.3574,0.3574
Condition_2_prime_9,0.8861,0.5971,0.8091,0.7139,0.7909,0.8082,0.7909,0.7989,0.7999,0.8861,0.8861,0.9048,0.7767,0.8278,0.7195,0.8096,0.8096,0.9047,0.9044,0.9048,1.0,0.9044,0.348,0.348,0.348,0.2618,0.348,0.348,0.348,0.348,0.348,0.254,0.348,0.4739,0.4739,0.4739,0.3877,0.4739,0.4649,0.4739,0.4739,0.4739,0.4649,0.4739,0.6578,0.5626,0.4722,0.5332,0.5968,0.5679,0.6578,0.6282,0.626,0.6139,0.6578,0.6814,0.5713,0.6113,0.4972,0.6083,0.6049,0.6814,0.6112,0.706,0.7053,0.6552,0.7285,0.6332,0.6969,0.5381,0.7272,0.6796,0.7285,0.6333,0.6423,0.7285,0.7285,0.6982,0.6029,0.6814,0.5393,0.6945,0.6187,0.6542,0.6548,0.7491,0.713,0.6711,0.5663,0.3763,0.3849,0.4803,0.5663,0.4404,0.5573,0.5663,0.5663,0.4624,0.4714,0.5027,0.4078,0.3213,0.5027,0.4257,0.5027,0.5027,0.5027,0.4165,0.4078,0.4078
