,C0,C0s,C1,C1s,C1_p1,C1_p1s,C1_p2,C1_p2s,C1_p3,C1_p3s,C1_p4,C1_p4s,C1_p5,C1_p5s,C1_p6,C1_p6s,C1_p7,C1_p7s,C1_p8,C1_p8s,C1_p9,C1_p9s,C1_p10,C1_p10s
gene_82,86,H,61.347,M,61.347,M,61.347,M,61.347,M,61.347,M,61.347,M,61.347,M,61.347,M,8.3,L,61.347,M,61.347,M
gene_83,97,H,70.276,MH,55.687,M,70.276,MH,83.735,H,70.276,MH,70.276,MH,70.276,MH,70.276,MH,21.615,LM,26.876,LM,70.276,MH
gene_84,82,H,37.429,M,74.647,MH,37.429,M,37.429,M,37.429,M,37.429,M,37.429,M,37.429,M,70.483,MH,37.429,M,37.429,M
gene_85,83,H,73.218,MH,73.218,MH,73.218,MH,73.218,MH,73.218,MH,73.218,MH,9.525,L,73.218,MH,73.218,MH,73.218,MH,40.212,M
gene_86,94,H,87.016,H,8.715,L,87.016,H,72.787,MH,40.018,M,87.016,H,87.016,H,58.326,M,87.016,H,87.016,H,87.016,H
gene_87,80,H,92.32,H,92.32,H,92.32,H,75.085,MH,92.32,H,20.152,LM,92.32,H,92.32,H,10.545,L,92.32,H,74.411,MH
gene_88,92,H,30.532,M,30.532,M,78.615,MH,30.532,M,30.532,M,30.532,M,30.532,M,30.532,M,30.532,M,30.532,M,30.532,M
gene_89,99,H,74.986,MH,74.986,MH,17.039,L,74.986,MH,74.986,MH,74.986,MH,74.986,MH,74.986,MH,74.986,MH,74.986,MH,9.558,L
gene_90,91,H,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM,24.464,LM
gene_91,94,H,81.034,H,81.034,H,11.418,L,81.034,H,81.034,H,81.034,H,20.02,LM,81.034,H,81.034,H,81.034,H,81.034,H
gene_92,80,H,27.117,LM,27.117,LM,27.117,LM,27.117,LM,8.914,L,27.117,LM,73.885,MH,27.117,LM,27.117,LM,27.117,LM,27.117,LM
gene_93,93,H,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM,22.36,LM
gene_94,92,H,33.733,M,76.765,MH,33.733,M,33.733,M,85.872,H,33.733,M,33.733,M,33.733,M,33.733,M,33.733,M,33.733,M
gene_95,92,H,23.003,LM,35.225,M,87.088,H,23.003,LM,23.003,LM,60.7,M,23.003,LM,23.003,LM,15.244,L,23.003,LM,23.003,LM
gene_96,88,H,8.956,L,8.956,L,8.956,L,8.956,L,8.956,L,8.956,L,8.956,L,8.956,L,86.499,H,53.463,M,8.956,L
gene_97,87,H,98.181,H,98.181,H,98.181,H,98.181,H,98.181,H,98.181,H,98.181,H,67.926,M,98.181,H,98.181,H,98.181,H
gene_98,100,H,41.196,M,41.196,M,41.196,M,41.196,M,41.196,M,41.196,M,41.196,M,41.196,M,41.196,M,21.631,LM,41.196,M
gene_99,80,H,87.534,H,53.0,M,87.534,H,87.534,H,87.534,H,87.534,H,76.344,MH,87.534,H,87.534,H,42.724,M,55.103,M
gene_100,30,M,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H,90.966,H
gene_101,68,M,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H,83.492,H
gene_102,37,M,12.162,L,12.162,L,12.162,L,12.162,L,12.162,L,12.162,L,12.162,L,12.162,L,51.628,M,12.162,L,12.162,L
gene_103,34,M,77.91,MH,77.91,MH,27.802,LM,77.91,MH,77.91,MH,77.91,MH,95.245,H,77.91,MH,77.91,MH,77.91,MH,77.91,MH
gene_104,38,M,28.51,LM,28.51,LM,28.51,LM,70.929,MH,28.51,LM,28.51,LM,28.51,LM,28.51,LM,86.322,H,81.779,H,70.654,MH
gene_105,62,M,27.991,LM,27.991,LM,27.991,LM,27.991,LM,64.327,M,56.324,M,38.98,M,27.991,LM,13.889,L,27.991,LM,88.515,H
gene_106,67,M,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM,20.398,LM
gene_107,30,M,72.534,MH,72.534,MH,84.6,H,48.612,M,72.534,MH,72.534,MH,72.534,MH,72.534,MH,72.534,MH,72.534,MH,72.534,MH
gene_108,47,M,72.144,MH,72.144,MH,72.144,MH,72.144,MH,72.144,MH,86.104,H,14.756,L,72.144,MH,92.874,H,72.144,MH,72.144,MH
gene_109,34,M,77.905,MH,77.905,MH,59.445,M,77.905,MH,77.905,MH,77.905,MH,77.905,MH,58.894,M,77.905,MH,64.723,M,77.905,MH
gene_110,40,M,27.889,LM,27.889,LM,27.889,LM,27.889,LM,27.889,LM,27.889,LM,27.889,LM,27.889,LM,27.889,LM,27.889,LM,80.28,H
gene_111,38,M,91.298,H,42.16,M,91.298,H,7.861,L,91.298,H,91.298,H,91.298,H,91.298,H,91.298,H,91.298,H,91.298,H
gene_112,55,M,98.606,H,98.606,H,11.616,L,32.191,M,20.366,LM,98.606,H,98.606,H,73.089,MH,98.606,H,98.606,H,54.104,M
gene_113,44,M,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H,87.798,H
gene_114,37,M,18.998,L,18.998,L,18.998,L,97.198,H,18.998,L,18.998,L,18.998,L,18.998,L,18.998,L,18.998,L,18.998,L
gene_115,50,M,96.482,H,96.482,H,96.482,H,59.08,M,13.613,L,96.482,H,96.482,H,96.482,H,96.482,H,96.482,H,18.722,L
gene_116,31,M,20.344,LM,20.344,LM,55.085,M,20.344,LM,20.344,LM,20.344,LM,20.344,LM,20.344,LM,7.23,L,20.344,LM,20.344,LM
gene_117,34,M,2.126,L,2.126,L,2.126,L,2.126,L,2.126,L,78.887,MH,2.126,L,82.724,H,92.085,H,2.126,L,2.126,L
gene_118,69,M,27.005,LM,27.005,LM,27.005,LM,27.005,LM,27.005,LM,27.005,LM,44.26,M,27.005,LM,27.005,LM,27.005,LM,27.005,LM
gene_119,37,M,23.419,LM,23.419,LM,71.382,MH,23.419,LM,23.419,LM,23.419,LM,23.419,LM,23.419,LM,23.419,LM,23.419,LM,83.548,H
gene_120,44,M,88.725,H,88.725,H,88.725,H,88.725,H,88.725,H,52.518,M,25.273,LM,88.725,H,88.725,H,88.725,H,88.725,H
gene_121,59,M,6.326,L,6.326,L,22.26,LM,6.326,L,6.326,L,6.326,L,6.326,L,6.326,L,6.326,L,56.848,M,80.354,H
gene_122,63,M,71.24,MH,71.24,MH,71.24,MH,55.544,M,33.854,M,71.24,MH,71.24,MH,71.24,MH,41.176,M,71.24,MH,71.24,MH
gene_123,66,M,24.8,LM,24.8,LM,24.8,LM,24.8,LM,24.8,LM,24.8,LM,24.8,LM,24.8,LM,75.823,MH,24.8,LM,24.8,LM
gene_124,36,M,88.155,H,88.155,H,88.155,H,21.933,LM,88.155,H,88.155,H,88.155,H,88.155,H,88.155,H,88.155,H,15.175,L
gene_125,56,M,28.694,LM,28.694,LM,28.694,LM,28.694,LM,87.751,H,28.694,LM,28.694,LM,28.694,LM,28.694,LM,28.694,LM,28.694,LM
gene_126,68,M,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM,23.924,LM
gene_127,32,M,22.025,LM,94.768,H,22.025,LM,22.025,LM,22.025,LM,22.025,LM,22.025,LM,12.52,L,40.689,M,67.865,M,22.025,LM
gene_128,57,M,55.165,M,55.165,M,75.907,MH,55.165,M,55.165,M,92.587,H,20.551,LM,55.165,M,55.165,M,55.165,M,99.967,H
gene_129,63,M,52.674,M,91.24,H,52.674,M,52.674,M,77.216,MH,52.674,M,52.674,M,52.674,M,28.74,LM,52.674,M,26.836,LM
gene_130,43,M,18.961,L,82.766,H,18.961,L,40.295,M,27.507,LM,18.961,L,76.498,MH,18.961,L,18.961,L,18.961,L,18.961,L
gene_131,40,M,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L,7.064,L
gene_132,53,M,92.232,H,92.232,H,92.232,H,92.232,H,92.232,H,92.232,H,92.232,H,92.232,H,5.336,L,92.232,H,92.232,H
gene_133,47,M,22.133,LM,22.133,LM,22.133,LM,22.133,LM,22.133,LM,83.519,H,22.133,LM,22.133,LM,22.133,LM,22.133,LM,8.623,L
gene_134,36,M,86.431,H,86.431,H,86.431,H,56.483,M,71.458,MH,86.431,H,86.431,H,86.431,H,86.431,H,86.431,H,49.048,M
gene_135,48,M,18.318,L,18.318,L,74.101,MH,18.318,L,18.318,L,18.318,L,18.318,L,18.318,L,97.931,H,24.112,LM,18.318,L
gene_136,46,M,97.553,H,97.553,H,97.553,H,22.979,LM,97.553,H,97.553,H,97.553,H,97.553,H,97.553,H,97.553,H,26.679,LM
gene_137,52,M,94.27,H,94.27,H,94.27,H,12.302,L,94.27,H,73.635,MH,94.27,H,94.27,H,94.27,H,94.27,H,94.27,H
gene_138,50,M,88.421,H,88.421,H,88.421,H,88.421,H,88.421,H,27.038,LM,16.582,L,88.421,H,88.421,H,88.421,H,77.663,MH
gene_139,42,M,7.469,L,7.469,L,7.469,L,7.469,L,7.469,L,7.469,L,7.469,L,7.469,L,7.469,L,7.469,L,75.221,MH
gene_140,44,M,13.551,L,13.551,L,13.551,L,13.551,L,13.551,L,13.551,L,73.812,MH,13.551,L,13.551,L,13.551,L,13.551,L
gene_141,63,M,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM,21.452,LM
gene_142,40,M,46.033,M,46.033,M,46.033,M,46.033,M,95.243,H,46.033,M,46.033,M,46.033,M,46.033,M,46.033,M,46.033,M
gene_143,52,M,28.964,LM,28.964,LM,67.979,M,32.866,M,28.964,LM,7.011,L,60.663,M,28.964,LM,28.964,LM,28.964,LM,28.964,LM
gene_144,30,M,74.532,MH,74.532,MH,74.532,MH,74.532,MH,74.532,MH,74.532,MH,12.065,L,74.532,MH,74.532,MH,17.581,L,74.532,MH
gene_145,59,M,6.563,L,6.563,L,6.563,L,6.563,L,20.016,LM,6.563,L,95.461,H,95.711,H,6.563,L,87.121,H,6.563,L
gene_146,43,M,26.895,LM,26.895,LM,26.895,LM,26.895,LM,77.444,MH,26.895,LM,26.895,LM,26.895,LM,26.895,LM,26.895,LM,26.895,LM
gene_147,31,M,26.781,LM,26.781,LM,26.781,LM,26.781,LM,26.781,LM,26.781,LM,71.238,MH,26.781,LM,26.781,LM,26.781,LM,73.597,MH
gene_148,41,M,78.616,MH,94.737,H,78.616,MH,78.616,MH,26.27,LM,78.616,MH,78.616,MH,16.053,L,78.616,MH,78.616,MH,78.616,MH
gene_149,39,M,75.253,MH,75.253,MH,75.253,MH,75.253,MH,75.253,MH,33.051,M,75.253,MH,75.253,MH,58.994,M,75.253,MH,75.253,MH
gene_150,68,M,75.71,MH,26.641,LM,75.71,MH,75.71,MH,75.71,MH,89.254,H,87.608,H,75.71,MH,75.71,MH,27.365,LM,75.71,MH
gene_151,44,M,73.881,MH,73.881,MH,27.5,LM,73.881,MH,73.881,MH,73.881,MH,73.881,MH,73.881,MH,73.881,MH,73.881,MH,93.766,H
gene_152,41,M,5.112,L,5.112,L,5.112,L,5.112,L,5.112,L,5.112,L,5.112,L,26.778,LM,5.112,L,5.112,L,5.112,L
gene_153,44,M,6.591,L,75.725,MH,6.591,L,77.645,MH,27.169,LM,71.377,MH,6.591,L,70.007,MH,6.591,L,6.591,L,93.774,H
gene_154,67,M,92.263,H,28.025,LM,92.263,H,92.263,H,92.263,H,92.263,H,92.263,H,92.263,H,92.263,H,92.263,H,92.263,H
gene_155,55,M,88.612,H,88.612,H,88.612,H,8.69,L,88.612,H,88.612,H,88.612,H,88.612,H,88.612,H,88.612,H,88.612,H
gene_156,54,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M,32.971,M
gene_157,58,M,12.936,L,12.936,L,12.936,L,12.936,L,12.936,L,46.853,M,12.936,L,12.936,L,12.936,L,12.936,L,12.936,L
gene_158,45,M,10.353,L,10.353,L,10.353,L,10.353,L,10.353,L,10.353,L,10.353,L,98.535,H,93.595,H,38.21,M,10.353,L
gene_159,46,M,21.523,LM,21.523,LM,21.523,LM,97.849,H,21.523,LM,21.523,LM,21.523,LM,21.523,LM,21.523,LM,21.523,LM,21.523,LM
gene_160,56,M,72.054,MH,72.054,MH,72.054,MH,72.054,MH,72.054,MH,72.054,MH,20.902,LM,17.018,L,72.054,MH,72.054,MH,72.054,MH
gene_161,30,M,27.371,LM,27.371,LM,27.371,LM,27.371,LM,27.371,LM,27.371,LM,27.371,LM,27.371,LM,27.371,LM,27.371,LM,41.635,M
gene_162,37,M,64.393,M,64.393,M,64.393,M,64.393,M,64.393,M,71.124,MH,64.393,M,64.393,M,64.393,M,64.393,M,70.758,MH
gene_163,43,M,13.612,L,13.612,L,13.612,L,13.612,L,70.001,MH,13.612,L,13.612,L,13.612,L,13.612,L,13.612,L,37.15,M
gene_164,39,M,34.621,M,34.621,M,34.621,M,34.621,M,34.621,M,34.621,M,96.944,H,34.621,M,96.852,H,12.771,L,78.324,MH
gene_165,55,M,16.238,L,16.238,L,22.704,LM,16.238,L,16.238,L,16.238,L,94.781,H,70.13,MH,16.238,L,16.238,L,16.238,L
gene_166,45,M,27.769,LM,27.769,LM,27.769,LM,27.769,LM,27.769,LM,27.769,LM,27.769,LM,7.909,L,27.769,LM,27.769,LM,27.769,LM
gene_167,65,M,6.507,L,6.507,L,6.507,L,6.507,L,6.507,L,6.507,L,6.507,L,27.262,LM,6.507,L,6.507,L,6.507,L
gene_168,52,M,22.986,LM,22.986,LM,88.727,H,22.986,LM,22.986,LM,98.533,H,80.181,H,22.986,LM,89.894,H,22.986,LM,22.986,LM
gene_169,46,M,17.331,L,17.331,L,17.331,L,17.331,L,17.331,L,17.331,L,17.331,L,17.331,L,17.331,L,17.331,L,24.775,LM
gene_170,46,M,14.132,L,14.132,L,83.33,H,14.132,L,83.652,H,14.132,L,14.132,L,14.132,L,14.132,L,14.132,L,14.132,L
gene_171,58,M,64.339,M,64.339,M,73.771,MH,12.667,L,73.23,MH,20.986,LM,22.778,LM,64.339,M,64.339,M,64.339,M,64.339,M
gene_172,46,M,6.584,L,28.183,LM,6.584,L,6.584,L,6.584,L,6.584,L,6.584,L,6.584,L,6.584,L,6.584,L,6.584,L
